ID,prompt_1 (moda),Classificacao_Correta
1,Laranja,Laranja
2,Laranja,Amarelo
3,Laranja,Laranja
4,Verde,Verde
5,Laranja,Amarelo
6,Laranja,Amarelo
7,Verde,Verde
8,Laranja,Laranja
9,Verde,Verde
10,Verde,Verde
11,Laranja,Amarelo
12,Laranja,Laranja
13,Vermelho,Vermelho
14,Laranja,Laranja
15,Laranja,Laranja
16,Laranja,Laranja
17,Laranja,Amarelo
18,Laranja,Laranja
19,Laranja,Laranja
20,Laranja,Laranja
21,Laranja,Amarelo
22,Laranja,Amarelo
23,Laranja,Amarelo
24,Amarelo,Amarelo
25,Laranja,Laranja
26,Laranja,Laranja
28,Laranja,Vermelho
29,Vermelho,Vermelho
30,Vermelho,Vermelho
32,Laranja,Laranja
33,Laranja,Laranja
34,Laranja,Laranja
35,Laranja,Amarelo
36,Laranja,Amarelo
37,Laranja,Amarelo
38,Laranja,Amarelo
40,Amarelo,Verde
41,Azul,Azul
42,Verde,Azul
